Delta: 3.62, Theta: 4.20, Alpha: 12.41, Beta: 33.56, Gamma: 21.28 | LED: ON
Delta: 1.75, Theta: 4.79, Alpha: 17.76, Beta: 30.97, Gamma: 19.33 | LED: ON
Delta: 2.50, Theta: 9.74, Alpha: 13.96, Beta: 28.81, Gamma: 23.96 | LED: ON
Delta: 0.93, Theta: 7.48, Alpha: 15.39, Beta: 29.77, Gamma: 22.10 | LED: ON
Delta: 4.98, Theta: 8.71, Alpha: 8.53, Beta: 35.31, Gamma: 22.02 | LED: ON
Delta: 4.16, Theta: 9.35, Alpha: 7.68, Beta: 37.79, Gamma: 19.13 | LED: ON
Delta: 2.36, Theta: 5.59, Alpha: 13.35, Beta: 38.09, Gamma: 18.00 | LED: ON
Delta: 2.48, Theta: 6.10, Alpha: 13.64, Beta: 39.78, Gamma: 12.94 | LED: ON
Delta: 5.89, Theta: 9.22, Alpha: 9.35, Beta: 28.52, Gamma: 23.82 | LED: ON
Delta: 8.25, Theta: 6.01, Alpha: 12.41, Beta: 24.84, Gamma: 23.38 | LED: ON
Delta: 6.60, Theta: 5.64, Alpha: 8.85, Beta: 28.07, Gamma: 25.71 | LED: ON
Delta: 4.43, Theta: 3.89, Alpha: 11.17, Beta: 33.50, Gamma: 25.11 | LED: ON
Delta: 3.68, Theta: 6.20, Alpha: 11.03, Beta: 29.36, Gamma: 23.21 | LED: ON
Delta: 2.94, Theta: 6.85, Alpha: 15.12, Beta: 30.50, Gamma: 24.80 | LED: ON
Delta: 1.11, Theta: 14.88, Alpha: 16.30, Beta: 25.36, Gamma: 20.52 | LED: ON
Delta: 0.47, Theta: 14.80, Alpha: 15.21, Beta: 20.67, Gamma: 23.65 | LED: ON
Delta: 0.70, Theta: 13.06, Alpha: 12.51, Beta: 24.87, Gamma: 24.32 | LED: ON
Delta: 5.12, Theta: 9.55, Alpha: 15.63, Beta: 17.83, Gamma: 23.44 | LED: ON
Delta: 10.92, Theta: 4.58, Alpha: 10.90, Beta: 21.95, Gamma: 27.67 | LED: ON
Delta: 8.45, Theta: 4.93, Alpha: 13.18, Beta: 24.45, Gamma: 19.85 | LED: OFF
Delta: 5.44, Theta: 9.60, Alpha: 8.95, Beta: 32.05, Gamma: 27.26 | LED: OFF
Delta: 5.12, Theta: 7.47, Alpha: 15.34, Beta: 27.54, Gamma: 22.98 | LED: OFF
Delta: 4.78, Theta: 5.12, Alpha: 16.27, Beta: 29.81, Gamma: 19.90 | LED: OFF
Delta: 3.04, Theta: 7.47, Alpha: 19.22, Beta: 22.68, Gamma: 21.19 | LED: OFF
Delta: 4.46, Theta: 12.02, Alpha: 14.21, Beta: 27.51, Gamma: 19.60 | LED: OFF
Delta: 4.38, Theta: 8.54, Alpha: 10.64, Beta: 31.77, Gamma: 20.56 | LED: OFF
Delta: 2.01, Theta: 9.19, Alpha: 13.95, Beta: 23.70, Gamma: 28.13 | LED: OFF
Delta: 1.71, Theta: 5.52, Alpha: 9.42, Beta: 39.23, Gamma: 24.63 | LED: OFF
Delta: 1.98, Theta: 9.35, Alpha: 14.00, Beta: 29.77, Gamma: 18.41 | LED: OFF
Delta: 5.60, Theta: 6.31, Alpha: 9.85, Beta: 25.39, Gamma: 21.12 | LED: OFF
Delta: 3.77, Theta: 12.59, Alpha: 14.64, Beta: 30.95, Gamma: 24.11 | LED: OFF
Delta: 2.93, Theta: 9.08, Alpha: 11.98, Beta: 37.14, Gamma: 21.00 | LED: OFF
Delta: 3.04, Theta: 7.47, Alpha: 19.22, Beta: 22.68, Gamma: 21.19 | LED: OFF
Delta: 4.46, Theta: 12.02, Alpha: 14.21, Beta: 27.51, Gamma: 19.60 | LED: OFF
Delta: 4.38, Theta: 8.54, Alpha: 10.64, Beta: 31.77, Gamma: 20.56 | LED: OFF
Delta: 2.01, Theta: 9.19, Alpha: 13.95, Beta: 23.70, Gamma: 28.13 | LED: OFF
Delta: 1.71, Theta: 5.52, Alpha: 9.42, Beta: 39.23, Gamma: 24.63 | LED: OFF
Delta: 1.98, Theta: 9.35, Alpha: 14.00, Beta: 29.77, Gamma: 18.41 | LED: OFF
Delta: 5.60, Theta: 6.31, Alpha: 9.85, Beta: 25.39, Gamma: 21.12 | LED: OFF
Delta: 3.77, Theta: 12.59, Alpha: 14.64, Beta: 30.95, Gamma: 24.11 | LED: OFF
Delta: 2.93, Theta: 9.08, Alpha: 11.98, Beta: 37.14, Gamma: 21.00 | LED: OFF
Delta: 1.64, Theta: 8.07, Alpha: 12.01, Beta: 34.78, Gamma: 23.24 | LED: OFF
Delta: 3.23, Theta: 5.94, Alpha: 14.23, Beta: 29.50, Gamma: 28.57 | LED: OFF
Delta: 2.33, Theta: 6.11, Alpha: 11.35, Beta: 33.35, Gamma: 26.74 | LED: OFF
Delta: 1.09, Theta: 9.88, Alpha: 5.71, Beta: 37.31, Gamma: 17.17 | LED: ON
Delta: 4.44, Theta: 4.16, Alpha: 16.02, Beta: 32.30, Gamma: 13.74 | LED: ON
Delta: 3.62, Theta: 4.20, Alpha: 12.41, Beta: 33.56, Gamma: 21.28 | LED: ON
Delta: 1.75, Theta: 4.79, Alpha: 17.76, Beta: 30.97, Gamma: 19.33 | LED: ON
Delta: 2.50, Theta: 9.74, Alpha: 13.96, Beta: 28.81, Gamma: 23.96 | LED: ON
Delta: 0.93, Theta: 7.48, Alpha: 15.39, Beta: 29.77, Gamma: 22.10 | LED: ON
Delta: 4.98, Theta: 8.71, Alpha: 8.53, Beta: 35.31, Gamma: 22.02 | LED: ON
Delta: 4.16, Theta: 9.35, Alpha: 7.68, Beta: 37.79, Gamma: 19.13 | LED: ON
Delta: 2.36, Theta: 5.59, Alpha: 13.35, Beta: 38.09, Gamma: 18.00 | LED: ON
Delta: 2.48, Theta: 6.10, Alpha: 13.64, Beta: 39.78, Gamma: 12.94 | LED: ON
Delta: 1.77, Theta: 4.42, Alpha: 16.22, Beta: 31.96, Gamma: 19.98 | LED: ON
Delta: 0.83, Theta: 3.74, Alpha: 21.62, Beta: 26.73, Gamma: 22.27 | LED: ON
Delta: 0.91, Theta: 4.90, Alpha: 15.75, Beta: 29.76, Gamma: 17.00 | LED: ON
Delta: 6.01, Theta: 4.77, Alpha: 19.09, Beta: 23.10, Gamma: 22.50 | LED: ON
Delta: 4.24, Theta: 4.09, Alpha: 19.57, Beta: 23.96, Gamma: 25.11 | LED: ON
Delta: 2.29, Theta: 9.70, Alpha: 19.66, Beta: 22.33, Gamma: 22.72 | LED: ON
Delta: 1.68, Theta: 8.29, Alpha: 20.81, Beta: 21.94, Gamma: 21.71 | LED: OFF
Delta: 1.13, Theta: 6.41, Alpha: 16.55, Beta: 31.87, Gamma: 17.90 | LED: OFF
Delta: 1.91, Theta: 13.96, Alpha: 15.87, Beta: 24.35, Gamma: 19.57 | LED: OFF
Delta: 1.84, Theta: 11.21, Alpha: 23.11, Beta: 21.05, Gamma: 17.73 | LED: OFF
Delta: 3.96, Theta: 11.97, Alpha: 12.97, Beta: 28.74, Gamma: 21.83 | LED: OFF
Delta: 5.59, Theta: 7.92, Alpha: 13.88, Beta: 32.26, Gamma: 17.48 | LED: OFF
Delta: 3.44, Theta: 8.19, Alpha: 11.45, Beta: 35.99, Gamma: 18.25 | LED: OFF
Delta: 1.39, Theta: 7.77, Alpha: 14.01, Beta: 39.08, Gamma: 21.46 | LED: OFF
Delta: 1.55, Theta: 11.60, Alpha: 14.94, Beta: 39.06, Gamma: 15.72 | LED: OFF
Delta: 5.90, Theta: 8.98, Alpha: 17.87, Beta: 30.41, Gamma: 21.41 | LED: OFF
Delta: 5.22, Theta: 7.88, Alpha: 17.53, Beta: 30.82, Gamma: 21.05 | LED: OFF
Delta: 5.07, Theta: 8.60, Alpha: 13.05, Beta: 27.69, Gamma: 24.95 | LED: OFF
Delta: 3.55, Theta: 9.49, Alpha: 18.25, Beta: 31.62, Gamma: 18.86 | LED: OFF
Delta: 5.99, Theta: 12.49, Alpha: 14.39, Beta: 29.26, Gamma: 20.29 | LED: OFF
Delta: 5.18, Theta: 9.61, Alpha: 14.86, Beta: 27.85, Gamma: 21.13 | LED: OFF
Delta: 3.46, Theta: 5.65, Alpha: 20.59, Beta: 24.89, Gamma: 22.56 | LED: OFF
Delta: 5.51, Theta: 3.59, Alpha: 16.76, Beta: 27.28, Gamma: 23.46 | LED: OFF
Delta: 4.56, Theta: 5.97, Alpha: 10.36, Beta: 36.86, Gamma: 20.01 | LED: OFF
Delta: 2.85, Theta: 5.21, Alpha: 20.39, Beta: 35.52, Gamma: 18.00 | LED: OFF
Delta: 4.20, Theta: 6.31, Alpha: 20.83, Beta: 27.57, Gamma: 20.82 | LED: OFF
Delta: 5.25, Theta: 7.87, Alpha: 15.20, Beta: 27.26, Gamma: 19.66 | LED: OFF
Delta: 3.49, Theta: 10.30, Alpha: 12.07, Beta: 32.03, Gamma: 21.35 | LED: ON
Delta: 4.21, Theta: 10.10, Alpha: 12.58, Beta: 32.67, Gamma: 23.87 | LED: ON
Delta: 5.86, Theta: 9.81, Alpha: 12.22, Beta: 33.74, Gamma: 20.12 | LED: ON
Delta: 4.20, Theta: 6.23, Alpha: 24.43, Beta: 25.57, Gamma: 17.59 | LED: ON
Delta: 4.14, Theta: 10.38, Alpha: 19.15, Beta: 19.93, Gamma: 20.15 | LED: ON
Delta: 3.88, Theta: 8.76, Alpha: 17.41, Beta: 21.59, Gamma: 21.16 | LED: ON
Delta: 5.51, Theta: 9.87, Alpha: 12.55, Beta: 31.22, Gamma: 24.37 | LED: ON
Delta: 4.81, Theta: 9.36, Alpha: 14.43, Beta: 27.52, Gamma: 28.47 | LED: ON
Delta: 3.67, Theta: 7.20, Alpha: 15.43, Beta: 29.89, Gamma: 25.82 | LED: ON
Delta: 1.47, Theta: 6.69, Alpha: 13.25, Beta: 33.47, Gamma: 24.55 | LED: ON
Delta: 2.79, Theta: 8.14, Alpha: 12.53, Beta: 33.64, Gamma: 24.40 | LED: ON
Delta: 4.82, Theta: 8.21, Alpha: 13.55, Beta: 30.31, Gamma: 23.88 | LED: ON
Delta: 5.80, Theta: 10.83, Alpha: 11.33, Beta: 34.10, Gamma: 23.52 | LED: ON
Delta: 4.93, Theta: 8.06, Alpha: 14.52, Beta: 33.23, Gamma: 25.65 | LED: ON
Delta: 6.17, Theta: 11.14, Alpha: 13.52, Beta: 30.75, Gamma: 23.16 | LED: ON
Delta: 3.68, Theta: 6.83, Alpha: 15.29, Beta: 30.71, Gamma: 27.58 | LED: ON
Delta: 1.90, Theta: 7.13, Alpha: 16.21, Beta: 36.11, Gamma: 26.27 | LED: ON
Delta: 2.51, Theta: 7.80, Alpha: 18.09, Beta: 34.89, Gamma: 21.51 | LED: ON
Delta: 3.91, Theta: 6.01, Alpha: 16.95, Beta: 35.35, Gamma: 20.94 | LED: ON
Delta: 2.40, Theta: 5.69, Alpha: 19.10, Beta: 32.96, Gamma: 19.58 | LED: ON
Delta: 1.24, Theta: 3.18, Alpha: 13.47, Beta: 43.21, Gamma: 18.90 | LED: ON
Delta: 1.09, Theta: 7.85, Alpha: 14.13, Beta: 44.42, Gamma: 15.17 | LED: ON
Delta: 2.38, Theta: 12.93, Alpha: 15.18, Beta: 38.85, Gamma: 12.13 | LED: ON
Delta: 1.67, Theta: 6.07, Alpha: 10.02, Beta: 48.63, Gamma: 18.31 | LED: ON
